"address_code","state","city","section","street","area_code","postal_code","number_of_household","number_of_people","remarks","polygon"
"041010040003","宮城県","仙台市青葉区","栗生三丁目","","","","","","",""
"041010040004","宮城県","仙台市青葉区","栗生四丁目","","","","","","",""
"041010040005","宮城県","仙台市青葉区","栗生五丁目","","","","","","",""
"041010040006","宮城県","仙台市青葉区","栗生六丁目","","","","","","",""
"041010040007","宮城県","仙台市青葉区","栗生七丁目","","","","","","",""
"041010041001","宮城県","仙台市青葉区","五橋一丁目","","","","","","",""
"041010041002","宮城県","仙台市青葉区","五橋二丁目","","","","","","",""
"041010042000","宮城県","仙台市青葉区","向田","","","","","","",""
"041010043000","宮城県","仙台市青葉区","広瀬町","","","","","","",""
"041010044000","宮城県","仙台市青葉区","荒巻神明町","","","","","","",""
"041010045000","宮城県","仙台市青葉区","荒巻中央","","","","","","",""
"041010046001","宮城県","仙台市青葉区","荒巻本沢一丁目","","","","","","",""
"041010046002","宮城県","仙台市青葉区","荒巻本沢二丁目","","","","","","",""
"041010046003","宮城県","仙台市青葉区","荒巻本沢三丁目","","","","","","",""
"041010047001","宮城県","仙台市青葉区","高松一丁目","","","","","","",""
"041010047002","宮城県","仙台市青葉区","高松二丁目","","","","","","",""
"041010047003","宮城県","仙台市青葉区","高松三丁目","","","","","","",""
"041010048001","宮城県","仙台市青葉区","高野原一丁目","","","","","","",""
"041010048002","宮城県","仙台市青葉区","高野原二丁目","","","","","","",""
"041010048003","宮城県","仙台市青葉区","高野原三丁目","","","","","","",""
"041010048004","宮城県","仙台市青葉区","高野原四丁目","","","","","","",""
"041010049001","宮城県","仙台市青葉区","国見一丁目","","","","","","",""
"041010049002","宮城県","仙台市青葉区","国見二丁目","","","","","","",""
"041010049003","宮城県","仙台市青葉区","国見三丁目","","","","","","",""
"041010049004","宮城県","仙台市青葉区","国見四丁目","","","","","","",""
"041010049005","宮城県","仙台市青葉区","国見五丁目","","","","","","",""
"041010049006","宮城県","仙台市青葉区","国見六丁目","","","","","","",""
"041010050001","宮城県","仙台市青葉区","国見ケ丘一丁目","","","","","","",""
"041010050002","宮城県","仙台市青葉区","国見ケ丘二丁目","","","","","","",""
"041010050003","宮城県","仙台市青葉区","国見ケ丘三丁目","","","","","","",""
"041010050004","宮城県","仙台市青葉区","国見ケ丘四丁目","","","","","","",""
"041010050005","宮城県","仙台市青葉区","国見ケ丘五丁目","","","","","","",""
"041010050006","宮城県","仙台市青葉区","国見ケ丘六丁目","","","","","","",""
"041010050007","宮城県","仙台市青葉区","国見ケ丘七丁目","","","","","","",""
"041010051001","宮城県","仙台市青葉区","国分町一丁目","","","","","","",""
"041010051002","宮城県","仙台市青葉区","国分町二丁目","","","","","","",""
"041010051003","宮城県","仙台市青葉区","国分町三丁目","","","","","","",""
"041010052001","宮城県","仙台市青葉区","鷺ケ森一丁目","","","","","","",""
"041010052002","宮城県","仙台市青葉区","鷺ケ森二丁目","","","","","","",""
"041010053001","宮城県","仙台市青葉区","桜ケ岡一丁目","","","","","","",""
"041010053002","宮城県","仙台市青葉区","桜ケ岡二丁目","","","","","","",""
"041010053003","宮城県","仙台市青葉区","桜ケ岡三丁目","","","","","","",""
"041010053004","宮城県","仙台市青葉区","桜ケ岡四丁目","","","","","","",""
"041010053005","宮城県","仙台市青葉区","桜ケ岡五丁目","","","","","","",""
"041010053006","宮城県","仙台市青葉区","桜ケ岡六丁目","","","","","","",""
"041010053007","宮城県","仙台市青葉区","桜ケ岡七丁目","","","","","","",""
"041010053008","宮城県","仙台市青葉区","桜ケ岡八丁目","","","","","","",""
"041010053009","宮城県","仙台市青葉区","桜ケ岡九丁目","","","","","","",""
"041010054000","宮城県","仙台市青葉区","桜ケ岡公園","","","","","","",""
"041010055000","宮城県","仙台市青葉区","三条町","","","","","","",""
"041010056000","宮城県","仙台市青葉区","山手町","","","","","","",""
"041010057000","宮城県","仙台市青葉区","子平町","","","","","","",""
"041010058000","宮城県","仙台市青葉区","支倉町","","","","","","",""
"041010059000","宮城県","仙台市青葉区","実沢字男生山","","","","","","",""
"041010060000","宮城県","仙台市青葉区","春日町","","","","","","",""
"041010061001","宮城県","仙台市青葉区","小松島一丁目","","","","","","",""
"041010061002","宮城県","仙台市青葉区","小松島二丁目","","","","","","",""
"041010061003","宮城県","仙台市青葉区","小松島三丁目","","","","","","",""
"041010061004","宮城県","仙台市青葉区","小松島四丁目","","","","","","",""
"041010062000","宮城県","仙台市青葉区","小松島新堤","","","","","","",""
"041010063004","宮城県","仙台市青葉区","小田原四丁目","","","","","","",""
"041010063005","宮城県","仙台市青葉区","小田原五丁目","","","","","","",""
"041010063006","宮城県","仙台市青葉区","小田原六丁目","","","","","","",""
"041010063007","宮城県","仙台市青葉区","小田原七丁目","","","","","","",""
"041010063008","宮城県","仙台市青葉区","小田原八丁目","","","","","","",""
"041010064000","宮城県","仙台市青葉区","昭和町","","","","","","",""
"041010065000","宮城県","仙台市青葉区","上愛子字下十三枚田","","","","","","",""
"041010066000","宮城県","仙台市青葉区","上愛子字下沢口","","","","","","",""
"041010067000","宮城県","仙台市青葉区","上愛子字上志田","","","","","","",""
"041010068000","宮城県","仙台市青葉区","上愛子字上沢口","","","","","","",""
"041010069000","宮城県","仙台市青葉区","上愛子字赤生木","","","","","","",""
"041010070000","宮城県","仙台市青葉区","上愛子字倉内","","","","","","",""
"041010071000","宮城県","仙台市青葉区","上愛子字道上","","","","","","",""
"041010072001","宮城県","仙台市青葉区","上杉一丁目","","","","","","",""
"041010072002","宮城県","仙台市青葉区","上杉二丁目","","","","","","",""
"041010072003","宮城県","仙台市青葉区","上杉三丁目","","","","","","",""
"041010072004","宮城県","仙台市青葉区","上杉四丁目","","","","","","",""
"041010072005","宮城県","仙台市青葉区","上杉五丁目","","","","","","",""
"041010072006","宮城県","仙台市青葉区","上杉六丁目","","","","","","",""
"041010073000","宮城県","仙台市青葉区","新坂町","","","","","","",""
"041010074001","宮城県","仙台市青葉区","水の森一丁目","","","","","","",""
"041010074002","宮城県","仙台市青葉区","水の森二丁目","","","","","","",""
"041010074003","宮城県","仙台市青葉区","水の森三丁目","","","","","","",""
"041010074004","宮城県","仙台市青葉区","水の森四丁目","","","","","","",""
"041010075000","宮城県","仙台市青葉区","星陵町","","","","","","",""
"041010076001","宮城県","仙台市青葉区","西花苑一丁目","","","","","","",""
"041010076002","宮城県","仙台市青葉区","西花苑二丁目","","","","","","",""
"041010077000","宮城県","仙台市青葉区","西勝山","","","","","","",""
"041010078000","宮城県","仙台市青葉区","青葉山","","","","","","",""
"041010079000","宮城県","仙台市青葉区","青葉町","","","","","","",""
